track_name,track_uri,album_name,artist_name,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Stan,3UmaczJpikHgJFyBTAJVoz,The Marshall Mathers LP,Eminem,2000-05-23,404106,84,0.0371,0.78,0.768,2.34e-06,0.518,-4.325,0.238,80.063,4
Sing For The Moment,3CpoeW0cZSDzIRv5z34F87,The Eminem Show,Eminem,2002-05-26,339546,73,0.0017,0.668,0.824,3.05e-06,0.0426,-4.164,0.137,163.961,4
Without Me,7lQ8MOhq6IN2w8EYcFNSUk,The Eminem Show,Eminem,2002-05-26,290320,88,0.00286,0.908,0.669,0.0,0.237,-2.827,0.0738,112.238,4
Like Toy Soldiers,30Gd3snWllczPbz2Gd0JMe,Encore,Eminem,2004-11-12,296880,0,0.0193,0.52,0.768,0.00034,0.104,-3.489,0.359,79.178,4
The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,The Marshall Mathers LP,Eminem,2000-05-23,284200,87,0.0302,0.949,0.661,0.0,0.0454,-4.244,0.0572,104.504,4
Mockingbird,561jH07mF1jHuk7KlaeF0s,Encore (Deluxe Version),Eminem,2004-11-12,250760,78,0.209,0.637,0.678,0.0,0.156,-3.798,0.266,84.039,4
Guilty Conscience,6hWxL0tpZm0QOLNSpT6Qra,The Slim Shady LP,Eminem,1999-01-01,199333,0,0.0483,0.752,0.782,0.0,0.34,-5.147,0.288,90.854,4
Cleanin' Out My Closet,7BMO7O7ImjV8HNTH74Tshv,The Eminem Show,Eminem,2002-05-26,297840,74,0.0687,0.908,0.758,0.0,0.0783,-4.753,0.174,148.015,4
Just Lose It,0qcjuYtMWhBjXg0Xwt5SzS,Encore (Deluxe Version),Eminem,2004-11-12,248680,68,0.0581,0.94,0.633,4.04e-05,0.281,-3.56,0.0467,121.003,4
When I'm Gone,2ye824NM1m7Nc2UPXtwZjL,Curtain Call (Deluxe),Eminem,2005-12-06,281133,0,0.0493,0.515,0.74,0.0,0.258,-5.507,0.363,75.922,4
Guts Over Fear,0VZs2OQq4axr8GFRdC9nyD,Guts Over Fear,Eminem,2014-08-25,300386,51,0.328,0.655,0.859,0.0,0.248,-4.277,0.221,140.049,4
Big Weenie,4dh34dyav8M5jCN3yidn8Z,Encore (Deluxe Version),Eminem,2004-11-12,266933,53,0.242,0.622,0.539,0.0,0.107,-4.331,0.502,173.662,4
Role Model,61m99fcU9aauP6IgzMI8kd,The Slim Shady LP,Eminem,1999-01-01,205400,0,0.0239,0.863,0.589,4.7e-06,0.0405,-4.263,0.258,91.962,4
Rock Bottom,4jY8Ey5uVOMKoKjq9u7X7O,The Slim Shady LP,Eminem,1999-01-01,214093,0,0.0741,0.857,0.644,0.00361,0.241,-3.062,0.147,92.05,4
6 Foot 7 Foot,0z5ZPs57J2KERwM1tBM2GF,Tha Carter IV (Deluxe),Lil Wayne,2011-01-01,248586,1,0.000707,0.365,0.751,0.0,0.318,-5.429,0.304,79.119,4
A Milli,6ScJMrlpiLfZUGtWp4QIVt,Tha Carter III,Lil Wayne,2008-06-10,221840,70,0.0387,0.674,0.695,0.00202,0.194,-8.636,0.278,151.486,4
Right Above It,1kMuU3TNQvHbqvXCWBodmP,I Am Not A Human Being,Lil Wayne,2010-01-01,271946,69,0.0435,0.376,0.841,0.0,0.578,-4.348,0.356,76.052,4
Still D.R.E.,6ltPEsP4edATzvinHOzvk2,2001 (Explicit Version),Dr. Dre,1999-11-16,268004,1,0.175,0.814,0.779,0.000671,0.0605,-3.271,0.235,93.43,4
The Next Episode,20LxTsa6936zOlzTWqoPVt,2001 (Explicit Version),Dr. Dre,1999-11-16,161600,1,0.0313,0.92,0.891,0.0,0.083,-2.398,0.253,95.295,4
Forgot About Dre,0Zh5U48tZNeAzzLTV1CVBE,2001 (Explicit Version),Dr. Dre,1999-11-16,222240,0,0.092,0.925,0.737,0.0,0.169,-1.292,0.0777,133.946,4
