0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
It's Beginning To Look A Lot Like Christmas,White Christmas,Bing Crosby,1970-01-01,168106,12,0.918,0.423,0.301,0.00263,0.234,-12.301,0.0391,136.791,3
White Christmas,Holiday Inn (Original Motion Picture Soundtrack),Bing Crosby,1942-01-01,177480,55,0.673,0.317,0.158,0.353,0.338,-16.485,0.0381,130.503,3
Winter Wonderland,Winter Wonderland,Bing Crosby,1998-01-01,144826,7,0.769,0.648,0.228,0.0,0.0983,-12.335,0.0454,125.526,4
The Christmas Song (Merry Christmas To You),The Nat King Cole Story,Nat King Cole,1991-01-01,190973,33,0.904,0.31,0.095,3.43e-05,0.128,-17.828,0.0366,72.76,4
Santa Baby (with Henri René & His Orchestra),Heavenly Eartha,Eartha Kitt,2002,206066,47,0.902,0.7,0.139,0.0,0.185,-12.346,0.0607,84.485,4
Mrs. Santa Claus,Christmas With Nat And Dean,Nat King Cole,1990-01-01,129066,0,0.664,0.746,0.305,0.0,0.116,-12.53,0.0416,127.083,4
I've Got My Love To Keep Me Warm,Ella And Louis Again,Ella Fitzgerald,1957,192786,0,0.77,0.542,0.426,0.0,0.303,-11.491,0.0878,110.771,4
Last Christmas,LAST CHRISTMAS,Wham!,1984-11-29,262960,69,0.189,0.735,0.478,2.48e-06,0.355,-12.472,0.0293,107.682,4
Have Yourself A Merry Little Christmas - Remastered 1999,A Jolly Christmas From Frank Sinatra,Frank Sinatra,1957-09,206600,57,0.913,0.262,0.137,6.74e-06,0.267,-15.235,0.0344,92.183,3
All I Want for Christmas Is You,Merry Christmas,Mariah Carey,1994-10-28,241106,71,0.164,0.336,0.627,0.0,0.0708,-7.463,0.0384,150.273,4
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Christmas Songs By Sinatra,Frank Sinatra,1948,155600,12,0.881,0.603,0.321,0.0,0.34,-11.489,0.0599,143.104,4
Little Saint Nick - 1991 Remix,The Beach Boys' Christmas Album,The Beach Boys,1964-11-09,118840,50,0.108,0.602,0.553,0.0,0.0512,-9.336,0.0328,130.594,4
