customer_id,recency,monetary_value,frequency,r_quartile,f_quartile,m_quartile,RFM_segment,RFM_score
1.0,729,200,10,1,1,1,111,3
2.0,99,70,10,4,1,1,411,6
3.0,197,970,40,3,4,3,343,10
4.0,386,3120,30,2,3,4,234,9
5.0,15,2180,30,4,3,4,434,11
7.0,358,60,10,2,1,1,211,4
8.0,134,1720,20,3,2,4,324,9
9.0,792,870,10,1,1,3,113,5
10.0,428,910,10,2,1,3,213,6
11.0,99,1980,30,4,3,4,434,11
12.0,120,320,40,3,4,2,342,9
13.0,267,1740,40,2,4,4,244,10
14.0,64,550,40,4,4,2,442,10
15.0,218,740,30,3,3,3,333,9
16.0,351,1490,20,2,2,3,223,7
18.0,442,1060,40,2,4,3,243,9
19.0,204,250,20,3,2,1,321,6
20.0,29,1070,20,4,2,3,423,9
21.0,22,1880,30,4,3,4,434,11
22.0,29,5530,70,4,4,4,444,12
23.0,190,7470,30,3,3,4,334,10
24.0,43,70,20,4,2,1,421,7
25.0,141,3020,20,3,2,4,324,9
26.0,71,1170,20,4,2,3,423,9
27.0,736,370,20,1,2,2,122,5
28.0,22,910,40,4,4,3,443,11
29.0,36,5920,20,4,2,4,424,10
30.0,365,770,20,2,2,3,223,7
32.0,148,830,30,3,3,3,333,9
33.0,148,1010,30,3,3,3,333,9
34.0,694,200,10,1,1,1,111,3
35.0,344,2620,20,2,2,4,224,8
36.0,358,1420,50,2,4,3,243,9
37.0,134,1620,20,3,2,3,323,8
38.0,568,110,10,1,1,1,111,3
39.0,183,730,20,3,2,2,322,7
40.0,442,240,10,2,1,1,211,4
41.0,295,5750,50,2,4,4,244,10
42.0,15,3000,20,4,2,4,424,10
43.0,253,260,30,3,3,1,331,7
45.0,8,500,30,4,3,2,432,9
46.0,8,4160,40,4,4,4,444,12
47.0,8,1000,20,4,2,3,423,9
48.0,526,810,20,1,2,3,123,6
49.0,288,190,10,2,1,1,211,4
51.0,78,1520,30,4,3,3,433,10
52.0,176,6550,60,3,4,4,344,11
53.0,232,750,20,3,2,3,323,8
54.0,15,270,20,4,2,2,422,8
55.0,302,770,30,2,3,3,233,8
56.0,36,560,20,4,2,2,422,8
57.0,456,1230,20,2,2,3,223,7
58.0,274,380,20,2,2,2,222,6
59.0,141,10480,30,3,3,4,334,10
60.0,246,2260,30,3,3,4,334,10
61.0,575,120,20,1,2,1,121,4
62.0,127,2160,60,3,4,4,344,11
63.0,449,1810,20,2,2,4,224,8
64.0,365,3550,30,2,3,4,234,9
65.0,491,3250,20,1,2,4,124,7
66.0,358,1290,30,2,3,3,233,8
67.0,148,2460,30,3,3,4,334,10
69.0,141,1030,20,3,2,3,323,8
71.0,526,160,10,1,1,1,111,3
72.0,22,560,20,4,2,2,422,8
73.0,127,1290,30,3,3,3,333,9
74.0,57,3010,50,4,4,4,444,12
75.0,617,40,10,1,1,1,111,3
76.0,183,4770,40,3,4,4,344,11
77.0,211,260,20,3,2,1,321,6
78.0,456,70,30,2,3,1,231,6
79.0,78,110,20,4,2,1,421,7
80.0,99,2680,50,4,4,4,444,12
81.0,351,110,10,2,1,1,211,4
82.0,57,2050,40,4,4,4,444,12
83.0,50,870,40,4,4,3,443,11
85.0,155,1950,40,3,4,4,344,11
86.0,400,1170,20,2,2,3,223,7
87.0,71,740,40,4,4,3,443,11
89.0,477,290,20,2,2,2,222,6
90.0,92,1020,40,4,4,3,443,11
91.0,463,1500,40,2,4,3,243,9
92.0,729,130,10,1,1,1,111,3
93.0,484,2220,30,1,3,4,134,8
94.0,169,1760,20,3,2,4,324,9
95.0,64,710,50,4,4,2,442,10
97.0,15,1010,30,4,3,3,433,10
98.0,64,5080,40,4,4,4,444,12
99.0,50,4150,30,4,3,4,434,11
100.0,36,30,10,4,1,1,411,6
101.0,708,300,10,1,1,2,112,4
102.0,204,4290,60,3,4,4,344,11
103.0,666,600,20,1,2,2,122,5
104.0,386,450,30,2,3,2,232,7
105.0,36,440,30,4,3,2,432,9
106.0,337,1930,40,2,4,4,244,10
107.0,589,3580,40,1,4,4,144,9
108.0,71,1340,50,4,4,3,443,11
109.0,22,590,40,4,4,2,442,10
110.0,106,6830,50,4,4,4,444,12
111.0,309,320,30,2,3,2,232,7
112.0,435,120,20,2,2,1,221,5
113.0,176,1200,30,3,3,3,333,9
